,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,AssociatesAkhil,"Chartered Accountancy Firm, GST & Income Tax Expert , Option Seller & Mutual Fund Advisors",Pune,1665,576,440,94,"Complaint against Commissioner, CGST Gurugram by CAs

#JusticeforCA https://t.co/aN3u8X4shv",['JusticeforCA']
1,monte1949,"Army veteran, Navy civilian police, Christian, hospital/hospice chaplain, grief counselor, retired. Dem 4ever. fighting for justice. No DMs","New Jersey, USA",1261,866,35939,43,"Oregon congressman's campaign official improperly gained access to ballot counting facilities: complaint 
 https://t.co/0VQ76YBykx",[]
2,SBWUCantonMI,"Starbucks Partners of Canton, Michigan.

Committed to fighting for better, not just for ourselves, but for every partner.

#ToBeAPartner @SBWorkersUnited","Canton, MI",313,256,580,732,BIG NEWS 🧵 The Labor Board  just issued a Complaint requesting a bargaining order for the Camp Rd. store in Buffalo. This only happens when companies violate the law so egregiously that it’s essentially impossible to have a fair vote at the store for a long-term period.,[]
3,vinvani,Love my country unconditionally. Interesting & thought provoking tweets are retweeted but not as endorsement.,Delhi / Pune,453,309,157973,184,"BREAKING: Complaint filed by @mithileshbjplko @itsanuj_singh against “indecent and offensive” tweets by Retd IAS Surya Pratap Singh, Saba Naqvi, TMC’s Mahua Moitra, Peace Party’s Shadab Chouhan &amp; RJD’s Kumar Divashankar directed towards revered God of Hindus, Lord Shiva",[]
4,RailwaySeva,An Official Twitter Account for support to RailUsers @RailMinIndia,,124,504727,1406715,0,"@pankaj_6588 Sir, We are still waiting for details (https://t.co/xU1ehN6wkA.) so that we register your complaint and expedite resolution.",[]
5,Jaspernewton76,Twitter is so brainwashed it’s not even funny anymore 🍄,"Kentucky, USA",90,33,1000,0,"@hope411adcock @dawnimatrix @CDCgov @CDCInjury I would also add when filing this with the Board of Pharmacies, send a letter with a copy of the complaint filed to you AG and governor offices.",[]
6,MarlonMcNeillSr,,Delaware,62,160,39492,3,"""Not only did the deputies find nothing illegal in the bags; they did not issue a single ticket for the alleged traffic infraction."" Delaware Attorney General Kathy Jennings said.
https://t.co/4Ser2taywq",[]
7,Josiano52124875,Former Spy. Present Theologian.,ZRVN 🛐 7Persons1God ,10,2,2002,0,@holeslurp You did not issue a complaint about Didache. I suppose you have no problem w it because it enables you to justify your evil intent to abolish abortion if not all forms of artificial birth control.,[]
8,Mark_J_Ryan,A pragmatist is just an idealist with more than one ideal. / Caps / Nats / Vols /,Our Nation’s Capital,333,350,14902,0,"@washingtonpost Ok, I take back my complaint about the guy in the NY rangers jersey. 

https://t.co/Wk3Kfeku7A",[]
9,dave_draws_cars,We|The|Best,"Asaba, Nigeria",205,131,1527,0,@accessbank_help I have a complaint,[]
